Game,Month,Day,Year
The Sims 2: Bon Voyage,September,"4,",2007
The Sims 2: FreeTime,February,"22,",2008
The Sims 2: Nightlife,September,"13,",2005
The Sims 2: Open for Business,March,"6,",2006
The Sims 2: Seasons,February,"23,",2007
The Sims 2: University,March,"11,",2005
The Sims 3: Generations,May,"31,",2011
The Sims 3: Into the Future,October,"22,",2013
The Sims 3: Island Paradise,June,"25,",2013
The Sims 3: Late Night,October,"26,",2010
The Sims 3: Seasons,November,"13,",2012
The Sims 3: Showtime,March,"6,",2012
The Sims 3: Supernatural,September,"4,",2012
The Sims 3: University Life,March,"5,",2013
The Sims: Hot Date,November,"14,",2001
The Sims: House Party,April,"2,",2001
The Sims: Livin' Large,August,"27,",2000
The Sims: Makin' Magic,October,"29,",2003
The Sims: Superstar,May,"13,",2003
The Sims: Unleashed,January,"7,",2002
The Sims: Vacation,March,"28,",2002
The Song of Seven : Overture,May,"17,",2016
The Stanley Parable,October,"17,",2013
The Sting!,July,"1,",2001
Thief,February,"25,",2014
Thief II: The Metal Age,March,"23,",2000
Thief: The Dark Project,November,"30,",1998
Thief: Deadly Shadows,May,"25,",2004
Titan Quest,June,"26,",2006
Tom Clancy's Splinter Cell,November,"17,",2002
Tom Clancy's Splinter Cell: Blacklist,August,"20,",2013
Tom Clancy's Splinter Cell: Chaos Theory,March,"21,",2005
Tom Clancy's Splinter Cell: Conviction,April,"13,",2010
Tom Clancy's Splinter Cell: Double Agent,October,"17,",2006
Tom Clancy's Splinter Cell: Pandora Tomorrow,March,"23,",2004
Tomb Raider,March,"5,",2013
Torchlight,October,"27,",2009
Torchlight II,September,"20,",2012
Total Annihilation,September,"30,",1997
Total War: Rome II,September,"3,",2013
Total War: Shogun 2,April,"15,",2011
TrackMania 2: Canyon,September,"14,",2011
TrackMania Forever,April,"15,",2008
TrackMania Nations ESWC,January,"28,",2006
TrackMania Nations Forever,April,"16,",2008
TrackMania Sunrise,April,"16,",2008
TrackMania United,November,"17,",2006
Train Simulator,November,"17,",2006
Transistor,May,"20,",2014
Trespasser,October,"28,",1998
Tribes 2,March,"30,",2001
Tribes: Ascend,April,"12,",2012
Tribes: Vengeance,October,"5,",2004
Tropico,April,"24,",2001
Tropico 2: Pirate Cove,April,"28,",2003
True Love,July,"9,",1995
ÜberSoldier,March,"29,",2006
Undertale,March,"29,",2006
Universe Sandbox,April,"29,",2011
Unreal,May,"22,",1998
Unreal Tournament,November,"30,",1999
Unreal Tournament 2003,October,"1,",2002
Unreal Tournament 2004,March,"16,",2004
Unreal Tournament 3,November,"19,",2007
Unreal Tournament 4,November,"19,",2007
Unturned,July,"7,",2017
Vampire: The Masquerade – Bloodlines,November,"16,",2004
Vampire: The Masquerade – Redemption,June,"7,",2000
Victoria: An Empire Under The Sun,June,"7,",2000
Victoria II,August,"13,",2010
Vivisector: Beast Within,January,"5,",2006
Voxatron,October,"31,",2011
War of the Lance,May,"1,",1988
War of the Roses,October,"2,",2012
Warcraft: Orcs & Humans,November,"23,",1994
Warcraft III: Reign of Chaos,July,"3,",2002
Wargame: AirLand Battle,May,"29,",2013
Wargame: European Escalation,February,"22,",2012
Wargame: Red Dragon,April,"17,",2014
"Warhammer 40,000: Dawn of War II",February,"19,",2009
Wasteland,February,"19,",2009
Wheels of Aurelia,September,"20,",2016
White Night,March,"3,",2015
WildStar,June,"7,",2014
The Witcher,October,"26,",2007
The Witcher 3: Wild Hunt,May,"19,",2015
Wizards & Warriors,September,"27,",2000
World in Conflict,September,"18,",2007
World in Conflict: Soviet Assault,March,"10,",2009
World of Goo,October,"13,",2008
World of Tanks,April,"12,",2011
World of Warplanes,November,"13,",2013
World of Warcraft,November,"23,",2004
World of Warcraft: The Burning Crusade,January,"15,",2007
World of Warcraft: Cataclysm,December,"7,",2010
World of Warcraft: Legion,August,"30,",2016
World of Warcraft: Mists of Pandaria,July,"25,",2012
World of Warcraft: Warlords of Draenor,November,"13,",2014
World of Warcraft: Wrath of the Lich King,November,"13,",2008
X3: Terran Conflict,October,"16,",2008
X-Plane,October,"16,",2008
